Token                ST_Pos
programa             -1
leer                 -1
entero               -1
IDENTIFIER           13
;                    -1
variable             -1
booleano             -1
IDENTIFIER           10
;                    -1
iniciobucle          -1
IDENTIFIER           8
desde                -1
CONSTANT             50
hasta                -1
IDENTIFIER           13
variable             -1
entero               -1
IDENTIFIER           21
;                    -1
fi                   -1
(                    -1
IDENTIFIER           21
==                   -1
CONSTANT             48
)                    -1
entonces             -1
IDENTIFIER           10
=                    -1
falso                -1
;                    -1
lse                  -1
IDENTIFIER           10
=                    -1
verdadero            -1
;                    -1
finbucle             -1
IDENTIFIER           0
+                    -1
IDENTIFIER           1
fi                   -1
(                    -1
IDENTIFIER           10
==                   -1
verdadero            -1
)                    -1
entonces             -1
imprime              -1
CONSTANT             85
;                    -1
lse                  -1
imprime              -1
CONSTANT             62
;                    -1
finprograma          -1
